Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
03/30/2020 23:00:56,66.89,13.16672,1704.99,57.51551,134.40149,50.56627,
03/30/2020 22:00:56,63.4,13.2306,1260.82,59.79238,103.77444,28.58166,
03/30/2020 21:00:56,62.38052,14.92078,996.78,53.68864,73.46637,12.8919,
03/30/2020 20:00:56,55.88379,17.67093,854.6499,37.5555,45.78157,5.25527,
03/30/2020 19:00:56,57.08466,18.50692,839.89,31.396,40.57391,6.01906,
03/30/2020 18:00:56,60.38,26.57419,854.9199,32.93197,51.59277,12.16054,
03/30/2020 17:00:56,,22.34896,865.8501,51.35146,110.65827,38.82056,
03/30/2020 16:00:56,,18.96506,810.37,35.30253,63.93696,18.71622,
03/30/2020 15:00:56,,14.53228,807.91,22.18207,36.90287,9.65885,
03/30/2020 14:00:56,,14.14421,795.61,20.29269,37.35506,11.03283,
03/30/2020 13:00:56,,13.39825,793.6899,17.93583,26.45284,5.54894,
03/30/2020 12:00:56,,15.94748,805.72,26.88463,43.14874,10.66351,
03/30/2020 11:00:56,,11.23663,820.48,39.62588,70.66911,19.9626,
03/30/2020 10:00:56,,10.00192,900.02,44.97502,78.30054,21.83102,
03/30/2020 09:00:56,,9.30252,998.6899,30.5117,43.46295,8.60285,
03/30/2020 08:00:56,,8.92644,878.4299,11.86874,13.58157,1.11336,
03/30/2020 07:00:56,,9.35353,1164.61,7.57184,7.9536,0.30093,
03/30/2020 06:00:56,,9.05062,919.97,6.47148,6.78664,0.24039,
03/30/2020 05:00:56,,9.10827,758.71,11.39839,11.95159,0.39303,
03/30/2020 04:00:56,,8.80447,737.11,20.09225,22.30953,1.39851,
03/30/2020 03:00:56,,8.75525,774.01,12.99873,14.22719,0.82614,
03/30/2020 02:00:56,,9.44711,774.5601,12.8291,14.7292,1.30048,
03/30/2020 01:00:56,,9.22491,778.9301,17.81361,19.28335,0.9545,
03/30/2020 00:00:56,,7.88332,816.47,23.8283,26.12238,1.50014,
03/29/2020 23:00:56,,10.3143,871.3899,24.0297,26.96271,1.80295,
03/29/2020 22:00:56,,9.63685,1015.37,41.73864,50.1473,5.47766,
